Oznake vrstic;Povpreèje od Volume
2007-01;31.241
2007-02;45.529
2007-03;71.569
2007-04;55.442
2007-05;71.143
2007-06;95.108
2007-07;124.706
2007-08;154.922
2007-09;121.703
2007-10;119.630
2007-11;146.977
2007-12;64.090
2008-01;104.046
2008-02;99.774
2008-03;103.539
2008-04;90.846
2008-05;92.385
2008-06;107.389
2008-07;116.597
2008-08;92.691
2008-09;155.815
2008-10;127.365
2008-11;61.853
2008-12;45.948
2009-01;80.815
2009-02;62.913
2009-03;93.848
2009-04;100.493
2009-05;112.255
2009-06;112.483
2009-07;142.643
2009-08;156.133
2009-09;142.492
2009-10;154.510
2009-11;206.734
2009-12;197.375
2010-01;235.468
2010-02;253.939
2010-03;197.219
2010-04;248.803
2010-05;323.247
2010-06;198.397
2010-07;172.967
2010-08;219.033
2010-09;236.904
2010-10;308.722
2010-11;304.649
2010-12;271.330
2011-01;395.948
2011-02;370.813
2011-03;463.723
2011-04;314.713
2011-05;343.011
2011-06;388.303
2011-07;442.540
2011-08;581.957
2011-09;390.234
2011-10;383.692
2011-11;317.668
2011-12;245.218
2012-01;368.234
2012-02;450.744
2012-03;462.398
2012-04;405.098
2012-05;446.629
2012-06;430.728
2012-07;364.668
2012-08;367.994
2012-09;569.670
2012-10;459.425
2012-11;528.443
2012-12;475.927
2013-01;680.768
2013-02;552.870
2013-03;661.221
2013-04;561.477
2013-05;489.711
2013-06;593.407
2013-07;465.167
2013-08;545.561
2013-09;548.383
2013-10;738.427
2013-11;472.824
2013-12;491.935
2014-01;791.969
2014-02;857.357
2014-03;679.916
2014-04;603.917
2014-05;609.862
2014-06;614.101
2014-07;536.614
2014-08;554.564
2014-09;555.467
2014-10;852.398
2014-11;359.473
2014-12;555.302
2015-01;505.172
2015-02;414.236
2015-03;360.014
2015-04;435.651
2015-05;513.820
2015-06;598.481
2015-07;644.038
2015-08;990.287
2015-09;763.403
2015-10;653.172
2015-11;486.471
2015-12;493.306
2016-01;676.952
2016-02;641.335
2016-03;652.646
2016-04;561.205
2016-05;527.805
2016-06;725.052
2016-07;533.548
2016-08;502.528
2016-09;615.158
2016-10;453.026
2016-11;689.356
2016-12;486.857
2017-01;629.126
2017-02;710.787
2017-03;647.335
2017-04;880.810
2017-05;652.619
2017-06;585.242
2017-07;734.726
2017-08;968.457
2017-09;849.027
2017-10;684.760
2017-11;657.431
2017-12;677.216
2018-01;996.179
2018-02;1.560.902
2018-03;693.963
2018-04;579.431
2018-05;412.964
2018-06;525.013
2018-07;388.686
2018-08;463.296
2018-09;508.653
2018-10;808.694
2018-11;542.079
2018-12;588.326
2019-01;489.840
2019-02;469.688
2019-03;532.754
2019-04;445.380
2019-05;670.597
2019-06;377.701
2019-07;467.365
2019-08;652.399
2019-09;476.646
2019-10;378.604
2019-11;375.688
2019-12;418.012
2020-01;473.215
2020-02;630.484
2020-03;1.128.499
2020-04;310.700
2020-05;343.778
2020-06;400.304
2020-07;315.629
2020-08;339.319
2020-09;350.374
2020-10;483.506
2020-11;523.169
2020-12;387.516
2021-01;647.234
2021-02;645.310
2021-03;503.705
2021-04;492.639
2021-05;590.169
2021-06;416.609
2021-07;459.326
2021-08;412.701
Skupna vsota;439.736
